datapath,in_port,eth_src,eth_dst,ip_src,ip_dst,protocol,tcp_src,tcp_dst,packet_count,byte_count,duration_sec,duration_nsec,class_label
9,0,,,,,0,0,0,641,74034,441,384000000,0
2,0,,,,,0,0,0,1192,141156,441,481000000,1
7,0,,,,,0,0,0,717,86119,441,414000000,0
5,0,,,,,0,0,0,714,85857,441,443000000,0
1,0,,,,,0,0,0,1252,143512,451,491000000,1
3,0,,,,,0,0,0,665,77949,451,472000000,0
10,0,,,,,0,0,0,701,82768,451,370000000,0
2,0,,,,,0,0,0,1193,141226,451,485000000,1
5,0,,,,,0,0,0,714,85857,451,448000000,0
7,0,,,,,0,0,0,717,86119,451,419000000,0
9,0,,,,,0,0,0,641,74034,451,388000000,0
10,0,,,,,0,0,0,701,82768,461,374000000,0
1,0,,,,,0,0,0,1252,143512,461,495000000,1
3,0,,,,,0,0,0,665,77949,461,476000000,0
9,0,,,,,0,0,0,641,74034,461,392000000,0
2,0,,,,,0,0,0,1193,141226,461,488000000,1
7,0,,,,,0,0,0,717,86119,461,423000000,0
5,0,,,,,0,0,0,714,85857,461,452000000,0
1,0,,,,,0,0,0,1259,144002,471,498000000,1
3,0,,,,,0,0,0,667,78089,471,478000000,0
2,0,,,,,0,0,0,1197,141506,471,491000000,1
7,0,,,,,0,0,0,720,86329,471,425000000,0
5,0,,,,,0,0,0,718,86137,471,454000000,0
9,0,,,,,0,0,0,644,74244,471,395000000,0
10,0,,,,,0,0,0,703,82908,471,381000000,0
1,0,,,,,0,0,0,1266,144492,481,501000000,1
3,0,,,,,0,0,0,673,78509,481,482000000,0
10,0,,,,,0,0,0,708,83258,481,380000000,0
7,0,,,,,0,0,0,725,86679,481,429000000,0
2,0,,,,,0,0,0,1205,142066,481,495000000,1
9,0,,,,,0,0,0,649,74594,481,399000000,0
5,0,,,,,0,0,0,724,86557,481,458000000,0
1,0,,,,,0,0,0,1266,144492,491,507000000,1
3,0,,,,,0,0,0,673,78509,491,488000000,0
2,0,,,,,0,0,0,1205,142066,491,500000000,1
9,0,,,,,0,0,0,649,74594,491,404000000,0
10,0,,,,,0,0,0,708,83258,491,386000000,0
5,0,,,,,0,0,0,724,86557,491,464000000,0
7,0,,,,,0,0,0,725,86679,491,435000000,0
1,0,,,,,0,0,0,1276,145192,501,511000000,1
10,0,,,,,0,0,0,715,83748,501,390000000,0
2,0,,,,,0,0,0,1215,142766,501,505000000,1
3,0,,,,,0,0,0,678,78859,501,492000000,0
9,0,,,,,0,0,0,657,75154,501,409000000,0
7,0,,,,,0,0,0,734,87309,501,440000000,0
5,0,,,,,0,0,0,729,86907,501,468000000,0
1,0,,,,,0,0,0,1279,145801,511,511000000,1
10,0,,,,,0,0,0,717,84154,511,389000000,0
3,0,,,,,0,0,0,680,79265,511,490000000,0
9,0,,,,,0,0,0,659,75560,511,406000000,0
7,0,,,,,0,0,0,737,87918,511,436000000,0
2,0,,,,,0,0,0,1217,143172,511,503000000,1
5,0,,,,,0,0,0,731,87313,511,464000000,0
1,0,,,,,0,0,0,1312,150904,521,517000000,1
2,0,,,,,0,0,0,1250,148408,521,510000000,1
3,0,,,,,0,0,0,698,81988,521,498000000,0
9,0,,,,,0,0,0,673,77870,521,413000000,0
7,0,,,,,0,0,0,756,90844,521,444000000,0
5,0,,,,,0,0,0,751,90442,521,472000000,0
10,0,,,,,0,0,0,737,87150,521,398000000,0
1,0,,,,,0,0,0,1334,152444,531,519000000,1
3,0,,,,,0,0,0,707,82618,531,499000000,0
10,0,,,,,0,0,0,749,87990,531,397000000,0
9,0,,,,,0,0,0,685,78710,531,416000000,0
2,0,,,,,0,0,0,1269,149738,531,512000000,1
7,0,,,,,0,0,0,768,91684,531,446000000,0
5,0,,,,,0,0,0,763,91282,531,475000000,0
1,0,,,,,0,0,0,1334,152444,541,524000000,1
2,0,,,,,0,0,0,1269,149738,541,517000000,1
3,0,,,,,0,0,0,707,82618,541,504000000,0
10,0,,,,,0,0,0,749,87990,541,402000000,0
7,0,,,,,0,0,0,768,91684,541,450000000,0
5,0,,,,,0,0,0,763,91282,541,479000000,0
9,0,,,,,0,0,0,685,78710,541,420000000,0
1,0,,,,,0,0,0,1344,153144,551,527000000,1
3,0,,,,,0,0,0,711,82898,551,507000000,0
2,0,,,,,0,0,0,1281,150578,551,520000000,1
10,0,,,,,0,0,0,753,88270,551,406000000,0
5,0,,,,,0,0,0,768,91632,551,483000000,0
7,0,,,,,0,0,0,772,91964,551,454000000,0
9,0,,,,,0,0,0,689,78990,551,424000000,0
1,0,,,,,0,0,0,1344,153144,561,531000000,1
10,0,,,,,0,0,0,753,88270,561,409000000,0
3,0,,,,,0,0,0,711,82898,561,511000000,0
2,0,,,,,0,0,0,1281,150578,561,524000000,1
5,0,,,,,0,0,0,768,91632,561,487000000,0
7,0,,,,,0,0,0,772,91964,561,458000000,0
9,0,,,,,0,0,0,689,78990,561,428000000,0
10,0,,,,,0,0,0,756,88480,571,415000000,0
2,0,,,,,0,0,0,1289,151138,571,530000000,1
3,0,,,,,0,0,0,714,83108,571,518000000,0
1,0,,,,,0,0,0,1350,153564,571,538000000,1
9,0,,,,,0,0,0,694,79340,571,434000000,0
5,0,,,,,0,0,0,772,91912,571,492000000,0
7,0,,,,,0,0,0,776,92244,571,464000000,0
1,0,,,,,0,0,0,1354,153844,581,539000000,1
2,0,,,,,0,0,0,1294,151488,581,532000000,1
3,0,,,,,0,0,0,718,83388,581,519000000,0
10,0,,,,,0,0,0,760,88760,581,417000000,0
7,0,,,,,0,0,0,779,92454,581,466000000,0
9,0,,,,,0,0,0,696,79480,581,436000000,0
5,0,,,,,0,0,0,775,92122,581,494000000,0
1,0,,,,,0,0,0,1354,153844,591,541000000,1
10,0,,,,,0,0,0,760,88760,591,420000000,0
3,0,,,,,0,0,0,718,83388,591,521000000,0
2,0,,,,,0,0,0,1294,151488,591,533000000,1
9,0,,,,,0,0,0,696,79480,591,436000000,0
7,0,,,,,0,0,0,779,92454,591,467000000,0
5,0,,,,,0,0,0,775,92122,591,495000000,0
3,0,,,,,0,0,0,721,83598,601,524000000,0
9,0,,,,,0,0,0,696,79480,601,441000000,0
7,0,,,,,0,0,0,779,92454,601,471000000,0
2,0,,,,,0,0,0,1295,151558,601,537000000,1
10,0,,,,,0,0,0,760,88760,601,427000000,0
1,0,,,,,0,0,0,1355,153914,601,544000000,1
5,0,,,,,0,0,0,776,92192,601,500000000,0
1,0,,,,,0,0,0,1355,153914,611,550000000,1
10,0,,,,,0,0,0,760,88760,611,429000000,0
9,0,,,,,0,0,0,696,79480,611,447000000,0
5,0,,,,,0,0,0,776,92192,611,507000000,0
2,0,,,,,0,0,0,1295,151558,611,543000000,1
7,0,,,,,0,0,0,779,92454,611,478000000,0
3,0,,,,,0,0,0,721,83598,611,531000000,0
1,0,,,,,0,0,0,1355,153914,621,556000000,1
3,0,,,,,0,0,0,723,83738,621,537000000,0
10,0,,,,,0,0,0,760,88760,621,435000000,0
9,0,,,,,0,0,0,696,79480,621,453000000,0
7,0,,,,,0,0,0,779,92454,621,484000000,0
2,0,,,,,0,0,0,1296,151628,621,549000000,1
5,0,,,,,0,0,0,776,92192,621,512000000,0
1,0,,,,,0,0,0,1355,153914,631,559000000,1
10,0,,,,,0,0,0,760,88760,631,438000000,0
3,0,,,,,0,0,0,723,83738,631,539000000,0
2,0,,,,,0,0,0,1296,151628,631,552000000,1
5,0,,,,,0,0,0,776,92192,631,515000000,0
7,0,,,,,0,0,0,779,92454,631,486000000,0
9,0,,,,,0,0,0,696,79480,631,456000000,0
10,0,,,,,0,0,0,760,88760,641,445000000,0
1,0,,,,,0,0,0,1355,153914,641,567000000,1
9,0,,,,,0,0,0,696,79480,641,463000000,0
2,0,,,,,0,0,0,1296,151628,641,560000000,1
3,0,,,,,0,0,0,723,83738,641,547000000,0
5,0,,,,,0,0,0,776,92192,641,522000000,0
7,0,,,,,0,0,0,779,92454,641,494000000,0
1,0,,,,,0,0,0,1355,153914,651,570000000,1
10,0,,,,,0,0,0,760,88760,651,448000000,0
3,0,,,,,0,0,0,723,83738,651,549000000,0
5,0,,,,,0,0,0,776,92192,651,524000000,0
2,0,,,,,0,0,0,1296,151628,651,562000000,1
7,0,,,,,0,0,0,779,92454,651,495000000,0
9,0,,,,,0,0,0,696,79480,651,465000000,0
3,0,,,,,0,0,0,723,83738,661,553000000,0
10,0,,,,,0,0,0,760,88760,661,452000000,0
9,0,,,,,0,0,0,696,79480,661,469000000,0
2,0,,,,,0,0,0,1296,151628,661,566000000,1
5,0,,,,,0,0,0,776,92192,661,528000000,0
7,0,,,,,0,0,0,779,92454,661,499000000,0
1,0,,,,,0,0,0,1358,154040,661,577000000,1
10,0,,,,,0,0,0,760,88760,671,455000000,0
1,0,,,,,0,0,0,1361,154166,671,576000000,1
